subject_id,location,strategy,fit_type,error,bic,r2,pcommon,sigma_v,sigma_a,sigma_p,mu_p,group,model
LV020,10,Matching,mll,148.99911141745486,314.8156290337977,0.7390603541873657,0.8720388008666965,0.7629017349924231,0.2,0.1229053313909476,1.5,Low Vision,bci
LV020,15,Averaging,mll,71.73750375875447,149.08080958380495,0.9470433057454952,1.0,0.4823349821767584,0.2,4000.0,1.5,Low Vision,mle
LV021,raw,Averaging,mll,140.8312667529748,288.36694786091374,0.9765984260282012,1.0,0.1169721754447954,0.2,4000.0,1.5,Low Vision,mle
LV021,visible,Averaging,mll,17.601778982166515,41.72565076250318,0.9996936478517756,1.0,0.1173607884425535,0.2,4000.0,1.5,Low Vision,mle
LV021,invisible,Averaging,mll,122.54276849130736,249.9981918683508,0.3485251795803702,1.0,0.090170330082696,0.2,4000.0,1.5,Low Vision,mle
LV021,5,Averaging,mll,3.513519004583971,12.63284007546394,0.9998814449394668,1.0,0.0901703353681914,0.2,4000.0,1.5,Low Vision,mle
LV021,10,Averaging,mll,27.22964762731492,60.06509732092584,0.9937949553156415,1.0,0.125488466477444,0.2,4000.0,1.5,Low Vision,mle
LV021,15,Averaging,mll,108.98862544583076,223.5830529579576,0.8536582073150243,1.0,0.0901703330831013,0.2,4000.0,1.5,Low Vision,mle
LV022,raw,Averaging,mll,432.4409827790722,871.5863799131085,0.7565039321878566,1.0,0.0901703324380268,0.2,4000.0,1.5,Low Vision,mle
LV022,visible,Averaging,mll,40.25495989865694,86.47862735729925,0.9954674312398448,1.0,0.0901703350848416,0.2,4000.0,1.5,Low Vision,mle
LV022,invisible,Averaging,mll,390.5311444870453,787.1143781430151,0.3281114838978965,1.0,0.0901703299614405,0.2,4000.0,1.5,Low Vision,mle
LV022,5,Averaging,mll,139.61043054159174,284.8266631494795,0.7990667285882951,1.0,0.0901703327857161,0.2,4000.0,1.5,Low Vision,mle
LV022,10,Averaging,mll,126.00073938796744,257.60728084223086,0.8028037205525494,1.0,0.0901703327112784,0.2,4000.0,1.5,Low Vision,mle
LV022,15,Averaging,mll,166.82981284909502,339.26542776448605,0.6577005696838798,1.0,0.090170331815163,0.2,4000.0,1.5,Low Vision,mle
LV023,raw,Matching,mll,868.0581902535345,1756.2296235719612,0.3878991606230053,0.8210849277033918,0.8882611467320409,0.2,2.9647932549736367,1.5,Low Vision,bci
LV023,visible,Averaging,mll,179.58194467476386,364.7051528946861,0.7481844153806041,1.0,0.3091609244891799,0.2,4000.0,1.5,Low Vision,mle
LV023,invisible,Matching,mll,684.3910728073772,1387.7713083313224,0.22007481830531,0.7703488473307092,2.7473640657104195,0.2,1.9979662883611744,1.5,Low Vision,bci
LV023,5,Averaging,mll,271.91793054969304,549.441663165682,0.3647522666202979,1.0,0.2870546746016881,0.2,4000.0,1.5,Low Vision,mle
LV023,10,Matching,mll,322.26007819094394,661.3375625807759,0.1675662241337696,0.6568603210474719,2.494429176099877,0.2,0.7846212819995229,1.5,Low Vision,bci
LV023,15,Averaging,mll,255.8487846991728,517.3033714646415,0.4144264137074629,1.0,0.2852426092406232,0.2,4000.0,1.5,Low Vision,mle
LV024,raw,Averaging,mll,897.5251632872153,1815.1635696393228,0.1049163926640001,0.1874588812615522,2.947845682823789,0.2,0.6827569010523522,1.5,Low Vision,bci
LV024,visible,Averaging,mll,432.3079217864428,882.649645096098,-0.0939963083976778,0.377351078379131,2.8075262929561093,0.2,1.2284129312010388,1.5,Low Vision,bci
LV024,invisible,Averaging,mll,436.9865334272201,879.9843340288443,0.1061867505640132,1.0,0.1997571581289994,0.2,4000.0,1.5,Low Vision,mle
LV024,5,Averaging,mll,300.0524136072923,616.9222334134726,0.0736290904027762,0.3194865115334901,2.8777847309404785,0.2,1.068387098981506,1.5,Low Vision,bci
LV024,10,Matching,mll,306.0131946647468,628.8437955283815,0.0713264463810144,0.468401287805513,2.9465119238797515,0.2,2.249019442583861,1.5,Low Vision,bci
LV024,15,Matching,mll,290.11592253184654,597.049251262581,0.1989841258067203,0.5760186895047594,1.4037348252583424,0.2,0.1120281782911061,1.5,Low Vision,bci
LV025,raw,Averaging,mll,525.3394166516789,1070.79207636825,0.6722933938470016,0.0,0.4282959411819299,0.2,0.7275921303171249,0.8136717341072037,Low Vision,fs
LV025,visible,Averaging,mll,53.80357455856521,125.24035646246934,0.9934334741307737,0.0,0.3923286183605727,0.2,0.7267291409437003,0.8232009543871931,Low Vision,fs
LV025,invisible,Averaging,mll,446.37063402930926,898.8703182686791,0.2710840628494869,1.0,0.0901703296106049,0.2,4000.0,1.5,Low Vision,mle
LV025,5,Averaging,mll,163.9495613909974,344.7165289808828,0.7446238358921105,0.0,0.6846329712340414,0.2,0.8508180941241402,0.8255911494973486,Low Vision,fs
LV025,10,Averaging,mll,163.38042431721806,332.3666507007321,0.6777245401534759,1.0,0.1257080080744423,0.2,4000.0,1.5,Low Vision,mle
LV025,15,Averaging,mll,188.03582966522544,381.6774613967469,0.5811586778236673,1.0,0.1284945972324738,0.2,4000.0,1.5,Low Vision,mle
SV103,raw,Averaging,mll,190.0823597996749,386.869133954314,0.9831231932982494,1.0,0.2058513358311612,0.2,4000.0,1.5,Control,mle
SV103,visible,Averaging,mll,173.47114198482268,353.6256449154116,0.9829948973417744,1.0,0.2058496141254536,0.2,4000.0,1.5,Control,mle
SV103,invisible,Averaging,mll,12.813122419529837,28.45945818311589,-0.1375478688972016,1.0,0.0746174669980293,0.2,4000.0,1.5,Control,mle
SV103,5,Averaging,mll,40.051192893870684,85.70818785403736,0.9960913083376194,1.0,0.217809952528072,0.2,4000.0,1.5,Control,mle
SV103,10,Averaging,mll,94.44971680187012,194.50523567003623,0.9300694292847368,1.0,0.2168375128153047,0.2,4000.0,1.5,Control,mle
SV103,15,Averaging,mll,53.900268177327554,113.4063384209511,0.993656584975978,1.0,0.1881333123547849,0.2,4000.0,1.5,Control,mle
SV110,raw,Averaging,mll,65.06273623061341,136.82988681619094,0.999496311739388,1.0,0.2384278110051813,0.2,4000.0,1.5,Control,mle
SV110,visible,Averaging,mll,65.06273623061341,136.82988681619094,0.999496311739388,1.0,0.2384278110051813,0.2,4000.0,1.5,Control,mle
SV110,5,Averaging,mll,19.0960715981738,43.7979452626436,0.9991743534064644,1.0,0.2491097958351358,0.2,4000.0,1.5,Control,mle
SV110,10,Averaging,mll,21.288510822346787,48.18282371098957,0.9995999524443072,1.0,0.2334701522731966,0.2,4000.0,1.5,Control,mle
SV110,15,Averaging,mll,24.48345517216472,54.57271241062544,0.9995391595621956,1.0,0.2342761148822491,0.2,4000.0,1.5,Control,mle
SV111,raw,Averaging,mll,267.1177652183765,540.9399447917172,0.952414520746942,1.0,0.3410589119072426,0.2,4000.0,1.5,Control,mle
SV111,visible,Averaging,mll,245.90227051622773,498.4879019782217,0.9517620465823876,1.0,0.329486559790386,0.2,4000.0,1.5,Control,mle
SV111,invisible,Averaging,mll,16.034487118283565,34.90218758062335,-0.1049049186456412,1.0,0.9359377862207476,0.2,4000.0,1.5,Control,mle
SV111,5,Averaging,mll,87.13217992349217,179.87016191328036,0.9459147345320648,1.0,0.3260206483022665,0.2,4000.0,1.5,Control,mle
SV111,10,Matching,mll,87.69441893783737,192.2062440745628,0.8889193854336965,0.8890343730034842,0.5637855462702057,0.2,0.1115807004235428,1.5,Control,bci
SV111,15,Averaging,mll,84.57434808270553,174.75449823170706,0.9732541502569624,1.0,0.2913702116047319,0.2,4000.0,1.5,Control,mle
SV113,raw,Averaging,mll,81.83210666413888,170.36862768324187,0.9948903061215002,1.0,0.3392086942313346,0.2,4000.0,1.5,Control,mle
SV113,visible,Averaging,mll,45.441486265979535,97.54482727250438,0.9946337713079604,1.0,0.3411475675761782,0.2,4000.0,1.5,Control,mle
SV113,invisible,Averaging,mll,34.5785955018413,72.68355152829876,0.1017067259167919,1.0,0.177968950616815,0.2,4000.0,1.5,Control,mle
SV113,5,Averaging,mll,21.294907434738302,48.19561693577261,0.9908784246034908,1.0,0.3425417551003028,0.2,4000.0,1.5,Control,mle
SV113,10,Averaging,mll,13.218023490257933,32.04184904681186,0.993772590082634,1.0,0.3393510604550419,0.2,4000.0,1.5,Control,mle
SV113,15,Averaging,mll,47.62698582775552,100.85977372180704,0.9861149699077184,1.0,0.3126984396511238,0.2,4000.0,1.5,Control,mle
SV119,raw,Averaging,mll,95.6705524554523,198.0455192658687,0.9988701837782415,1.0,0.1646298751997259,0.2,4000.0,1.5,Control,mle
SV119,visible,Averaging,mll,79.96023669632697,166.60383433842023,0.9994604570517196,1.0,0.164231254495895,0.2,4000.0,1.5,Control,mle
SV119,invisible,Averaging,mll,14.16153429460094,31.156281933258093,0.3171025641906834,1.0,0.1863042270048314,0.2,4000.0,1.5,Control,mle
SV119,5,Averaging,mll,22.87145110079172,51.34870426787944,0.999872751206576,1.0,0.1686310020728497,0.2,4000.0,1.5,Control,mle
SV119,10,Averaging,mll,16.8769796211439,39.3597613085838,0.99999966132448,1.0,0.1606422240486759,0.2,4000.0,1.5,Control,mle
